JOB_ROLE,INDUSTRY,COUNTRY,YEAR,AUTOMATION_RISK_PERCENT,AI_REPLACEMENT_SCORE,SKILL_GAP_INDEX,SALARY_BEFORE_USD,SALARY_AFTER_USD,SALARY_CHANGE_PERCENT,SKILL_DEMAND_GROWTH_PERCENT,REMOTE_FEASIBILITY_SCORE,AI_ADOPTION_LEVEL,EDUCATION_REQUIREMENT_LEVEL
Software Engineer,Finance,Singapore,2023.0,58.98,54.33,42.94,86484.71,84520.59,-2.27,3.58,93.57,57.97,4.0
Financial Analyst,Finance,Canada,2020.0,77.17,86.21,60.38,89200.99,79784.58,-10.56,1.46,70.0,28.43,1.0
Software Engineer,Finance,India,2026.0,9.17,9.54,3.43,89707.93,86621.4,-3.44,1.25,42.85,43.24,5.0
Data Analyst,Finance,Canada,2025.0,23.49,25.98,43.28,88102.14,98552.34,11.86,20.4,37.89,8.58,2.0
HR Manager,Finance,Australia,2026.0,29.79,29.32,67.13,49462.0,57949.23,17.16,4.02,88.02,62.63,3.0
Accountant,Finance,Singapore,2023.0,56.83,48.34,94.58,45908.89,42509.38,-7.4,13.65,94.02,72.0,4.0
Accountant,Finance,UK,2025.0,28.92,32.66,51.83,85416.78,91912.78,7.61,-12.43,75.69,41.09,1.0
Accountant,Finance,Singapore,2024.0,54.05,58.35,71.11,36235.93,35761.51,-1.31,16.28,33.62,24.18,4.0
Marketing Specialist,Finance,Singapore,2025.0,28.7,28.81,14.75,103398.68,121090.49,17.11,10.24,94.39,91.23,2.0
Data Analyst,Finance,Germany,2020.0,31.85,31.47,70.66,142876.8,138807.14,-2.85,3.94,54.67,54.45,3.0
Teacher,Finance,Canada,2024.0,57.19,60.24,9.95,102500.87,77538.71,-24.35,11.84,62.99,8.92,2.0
Customer Support Rep,Finance,Singapore,2021.0,55.17,47.99,98.71,97338.03,86486.57,-11.15,16.97,18.53,97.59,4.0
Software Engineer,Finance,Japan,2023.0,11.37,13.17,68.6,59988.21,61093.84,1.84,0.8,61.52,40.45,5.0
Accountant,Finance,UK,2021.0,10.09,8.56,53.46,111015.59,128671.54,15.9,-0.69,56.97,7.42,5.0
Teacher,Finance,Australia,2021.0,55.0,59.24,87.1,71080.09,73505.46,3.41,20.0,89.46,52.78,2.0
Teacher,Finance,Singapore,2022.0,12.34,11.68,23.71,83672.76,85883.85,2.64,4.6,59.87,93.08,5.0
Teacher,Finance,Germany,2024.0,27.3,30.02,26.2,135806.08,134251.47,-1.14,6.48,65.25,8.77,4.0
Software Engineer,Finance,India,2020.0,35.27,38.22,24.89,68932.59,76445.58,10.9,-0.71,90.76,51.82,2.0
HR Manager,Finance,Germany,2022.0,41.89,34.02,87.92,31561.23,31508.93,-0.17,11.83,40.77,92.42,4.0
Marketing Specialist,Finance,USA,2025.0,25.62,21.07,10.34,81780.97,82536.44,0.92,-10.65,32.81,94.05,1.0
Mechanical Engineer,Finance,Canada,2026.0,73.42,75.38,35.44,75737.63,87699.91,15.79,-1.12,50.65,85.67,3.0
Marketing Specialist,Finance,Canada,2026.0,76.09,71.09,56.07,41406.78,39827.16,-3.81,-8.2,28.56,87.66,4.0
Customer Support Rep,Finance,Canada,2024.0,66.77,62.42,26.25,44626.71,56398.7,26.38,8.02,42.34,47.54,1.0
Truck Driver,Finance,UK,2025.0,80.45,91.35,65.48,57411.1,52076.83,-9.29,-6.34,20.51,27.32,5.0
HR Manager,Finance,India,2020.0,49.79,47.08,75.65,60883.86,60467.13,-0.68,5.29,85.55,44.82,5.0
Financial Analyst,Finance,Singapore,2022.0,29.0,33.12,34.65,146765.44,133176.58,-9.26,3.86,73.68,3.12,5.0
Marketing Specialist,Finance,Germany,2023.0,13.66,14.67,43.62,53375.26,56072.51,5.05,10.28,53.78,29.85,3.0
Marketing Specialist,Finance,Germany,2023.0,52.96,59.18,8.56,52014.95,45652.37,-12.23,19.25,65.03,69.6,4.0
Accountant,Finance,USA,2021.0,33.97,28.65,6.96,100672.32,117709.57,16.92,6.44,55.88,42.24,5.0
Financial Analyst,Finance,India,2023.0,11.98,13.56,78.83,61084.22,55275.39,-9.51,11.96,13.63,20.11,2.0
Customer Support Rep,Finance,Canada,2024.0,82.51,84.31,17.98,86130.99,104588.92,21.43,0.3,84.7,4.93,5.0
Marketing Specialist,Finance,Brazil,2020.0,66.89,57.06,23.34,84404.47,97860.05,15.94,6.04,50.26,78.99,4.0
Teacher,Finance,Brazil,2020.0,64.04,72.45,17.05,137690.29,148866.68,8.12,8.32,53.68,54.2,5.0
Data Analyst,Finance,Japan,2024.0,49.49,43.11,25.22,127287.66,108251.26,-14.96,4.88,15.41,32.55,1.0
Teacher,Finance,Australia,2022.0,37.38,31.1,8.98,100890.45,85996.37,-14.76,23.06,48.87,5.39,5.0
Data Analyst,Finance,Japan,2024.0,5.0,5.13,33.92,68722.04,75372.93,9.68,8.99,64.83,85.32,1.0
Customer Support Rep,Finance,UK,2020.0,27.23,22.61,27.39,53984.76,57758.04,6.99,-1.29,60.68,0.58,4.0
Software Engineer,Finance,Canada,2023.0,53.96,50.23,24.22,50286.93,47990.34,-4.57,8.39,50.84,50.69,3.0
Truck Driver,Finance,Australia,2026.0,77.36,66.19,25.24,117813.13,112496.19,-4.51,-5.18,33.84,34.99,1.0
Mechanical Engineer,Finance,India,2024.0,67.6,59.19,70.11,64877.16,58026.19,-10.56,-5.5,75.3,22.98,1.0
Customer Support Rep,Finance,Japan,2021.0,92.94,100.97,32.32,68243.67,82651.93,21.11,-3.61,23.17,18.89,1.0
Marketing Specialist,Finance,USA,2021.0,71.88,63.46,91.82,127821.63,120679.01,-5.59,1.88,20.1,29.12,4.0
Teacher,Finance,Australia,2025.0,54.4,60.37,3.38,101178.72,95826.38,-5.29,-5.76,41.32,46.91,4.0
Teacher,Finance,UK,2026.0,33.39,28.15,14.56,34012.56,36086.92,6.1,4.6,20.41,94.63,2.0
Teacher,Finance,USA,2026.0,31.91,35.99,55.39,84069.9,75686.21,-9.97,-5.59,44.48,83.56,3.0
Marketing Specialist,Finance,Germany,2023.0,19.69,21.64,46.97,123952.1,131616.81,6.18,19.56,71.77,1.84,3.0
Mechanical Engineer,Finance,India,2025.0,16.24,14.37,50.21,32401.41,32782.8,1.18,-11.72,11.35,26.45,4.0
Software Engineer,Finance,Singapore,2025.0,62.39,69.97,18.4,65511.16,62571.7,-4.49,7.34,83.07,71.89,3.0
Mechanical Engineer,Finance,USA,2022.0,61.07,51.31,71.78,111578.18,110921.73,-0.59,2.79,23.39,55.84,4.0
Customer Support Rep,Finance,UK,2023.0,59.51,67.77,60.07,111819.96,103909.38,-7.07,27.1,13.55,1.45,5.0
Truck Driver,Finance,Brazil,2020.0,26.99,28.39,97.6,69745.66,71022.09,1.83,-4.92,91.57,78.41,2.0
Accountant,Finance,India,2020.0,48.23,42.71,47.55,68181.03,71183.4,4.4,-0.21,98.57,1.99,4.0
Mechanical Engineer,Finance,Brazil,2025.0,58.93,53.11,4.05,78346.75,78674.99,0.42,31.37,88.6,8.4,4.0
Teacher,Finance,Canada,2023.0,21.12,18.55,97.3,48373.61,51335.38,6.12,-10.59,64.92,15.4,2.0
Data Analyst,Finance,Japan,2025.0,7.25,8.23,15.28,39951.26,38222.82,-4.33,26.86,91.71,36.32,5.0
Software Engineer,Finance,Brazil,2026.0,33.31,39.37,24.74,117797.51,96836.16,-17.79,-0.33,51.03,7.12,3.0
Truck Driver,Finance,Canada,2021.0,71.35,60.4,55.5,64465.51,58755.71,-8.86,-1.25,11.0,24.23,2.0
HR Manager,Finance,USA,2024.0,57.51,51.33,50.9,136538.17,124735.45,-8.64,20.9,43.52,45.57,5.0
Financial Analyst,Finance,Germany,2024.0,22.39,23.59,36.42,132283.84,140269.99,6.04,19.02,42.78,20.99,3.0
Truck Driver,Finance,Australia,2023.0,65.25,75.42,65.09,87029.58,86212.34,-0.94,16.63,88.18,29.16,4.0
Accountant,Finance,Singapore,2026.0,29.64,30.31,70.87,46131.73,48024.9,4.1,17.15,95.46,33.95,1.0
Mechanical Engineer,Finance,Canada,2024.0,17.57,17.62,8.58,146343.18,113331.21,-22.56,9.31,15.93,62.22,4.0
Accountant,Finance,Japan,2020.0,52.61,50.76,47.38,79742.5,76082.07,-4.59,10.82,10.51,65.13,5.0
Marketing Specialist,Finance,Singapore,2022.0,50.4,57.91,86.36,74582.35,79407.11,6.47,-1.84,48.98,19.2,4.0
Software Engineer,Finance,Germany,2026.0,63.31,55.66,2.58,32433.6,37348.63,15.15,16.46,37.99,32.0,2.0
Mechanical Engineer,Finance,Japan,2025.0,61.39,51.67,78.93,93879.67,102999.26,9.71,-7.95,67.75,20.95,1.0
Financial Analyst,Finance,Germany,2023.0,62.23,54.88,37.11,106107.36,102464.32,-3.43,16.42,50.31,85.13,1.0
Accountant,Finance,Canada,2022.0,52.53,45.25,20.67,104595.55,100591.45,-3.83,-1.06,85.17,32.71,2.0
Software Engineer,Finance,UK,2024.0,54.36,48.46,2.48,76052.87,79362.78,4.35,-2.41,69.5,4.4,2.0
Mechanical Engineer,Finance,UK,2024.0,65.72,68.6,11.06,105327.93,105797.19,0.45,-8.66,57.62,87.62,2.0
Data Analyst,Finance,UK,2023.0,65.31,58.56,79.82,81968.94,81159.74,-0.99,13.26,76.99,46.7,5.0
Accountant,Finance,UK,2022.0,25.95,22.83,42.54,120659.36,139977.82,16.01,13.92,35.41,48.14,3.0
Truck Driver,Finance,Japan,2022.0,28.11,31.68,98.99,78825.49,88026.14,11.67,20.88,80.91,25.39,4.0
Mechanical Engineer,Finance,Japan,2026.0,69.84,66.53,74.0,105324.05,94890.4,-9.91,1.57,73.84,85.46,3.0
Truck Driver,Finance,Japan,2025.0,66.59,72.13,83.28,44581.34,44210.55,-0.83,18.77,50.56,42.39,2.0
Accountant,Finance,India,2020.0,48.62,44.23,6.52,35990.7,35669.65,-0.89,21.1,40.86,41.84,4.0
Truck Driver,Finance,India,2021.0,82.25,75.36,33.97,142314.62,162117.1,13.91,2.88,79.45,91.95,4.0
Customer Support Rep,Finance,Australia,2021.0,93.74,77.36,90.3,127688.19,135467.46,6.09,1.68,89.27,75.77,1.0
Software Engineer,Finance,Singapore,2025.0,16.68,19.02,55.72,54820.92,46641.08,-14.92,17.95,86.0,45.33,3.0
Accountant,Finance,Brazil,2025.0,11.68,12.91,58.09,105070.75,102962.14,-2.01,0.95,66.47,56.62,2.0
Financial Analyst,Finance,Japan,2025.0,32.93,38.5,26.94,148688.94,142288.95,-4.3,25.08,65.21,27.25,5.0
Financial Analyst,Finance,Germany,2025.0,13.05,11.57,97.11,147508.58,159643.85,8.23,8.35,29.26,97.2,4.0
Software Engineer,Finance,Canada,2023.0,14.1,16.15,32.14,148747.78,149619.57,0.59,-7.28,81.36,43.26,1.0
Financial Analyst,Finance,Brazil,2021.0,60.74,50.03,58.15,45622.72,37780.49,-17.19,15.47,13.14,54.16,2.0
Marketing Specialist,Finance,Singapore,2023.0,50.26,55.05,49.01,33462.95,33675.05,0.63,-2.28,74.69,21.53,1.0
Software Engineer,Finance,Germany,2021.0,46.82,49.73,44.58,71589.36,75138.51,4.96,11.44,38.91,10.3,2.0
Software Engineer,Finance,Canada,2025.0,9.86,11.35,18.1,125671.08,100828.15,-19.77,0.05,24.24,16.76,1.0
Data Analyst,Finance,Germany,2024.0,46.33,47.27,12.21,43523.74,44061.39,1.24,2.83,74.07,5.84,2.0
Teacher,Finance,Australia,2020.0,47.99,53.73,3.63,148082.18,116946.41,-21.03,-1.74,36.35,17.44,4.0
Software Engineer,Finance,USA,2026.0,5.0,5.01,87.09,55615.38,59338.49,6.69,3.88,48.57,35.84,1.0
Data Analyst,Finance,Brazil,2026.0,5.0,5.51,26.53,67202.62,57187.77,-14.9,6.46,89.6,8.54,4.0
Marketing Specialist,Finance,India,2026.0,34.01,40.38,69.5,78159.05,74034.59,-5.28,-6.27,25.29,10.63,3.0
Marketing Specialist,Finance,Australia,2022.0,26.49,31.11,95.49,145068.55,138952.72,-4.22,15.45,16.54,56.88,1.0
HR Manager,Finance,Singapore,2022.0,44.53,40.9,32.62,145310.09,137127.96,-5.63,-4.47,55.89,86.3,1.0
Financial Analyst,Finance,Brazil,2025.0,31.59,33.86,56.54,82354.72,70875.98,-13.94,6.84,48.76,50.17,5.0
Marketing Specialist,Finance,Australia,2022.0,34.93,33.15,31.83,104536.01,107400.7,2.74,2.34,83.12,47.65,5.0
Mechanical Engineer,Finance,Australia,2024.0,13.85,12.06,54.87,87728.06,83454.24,-4.87,-17.18,33.99,34.49,4.0
Teacher,Finance,UK,2025.0,53.17,44.53,78.09,148980.92,178234.11,19.64,8.35,31.36,43.76,3.0
Financial Analyst,Finance,Australia,2023.0,69.93,60.62,26.55,83452.04,76353.9,-8.51,19.55,93.5,9.45,5.0
Mechanical Engineer,Finance,India,2021.0,48.34,40.28,91.53,78511.53,66128.47,-15.77,-3.5,51.46,25.18,2.0
Accountant,Finance,USA,2025.0,11.29,9.7,37.82,112047.68,107426.61,-4.12,-9.55,60.16,88.86,5.0
HR Manager,Finance,Australia,2020.0,16.65,15.44,99.28,111411.2,101780.48,-8.64,11.93,17.09,27.69,2.0
Teacher,Finance,Singapore,2022.0,66.33,72.6,92.53,83620.11,78647.45,-5.95,0.77,60.22,18.49,2.0
Financial Analyst,Finance,USA,2024.0,56.02,45.16,6.44,41959.34,47292.5,12.71,1.73,89.94,24.48,1.0
HR Manager,Finance,Singapore,2024.0,49.39,58.77,68.89,137403.93,151979.74,10.61,14.0,36.14,30.35,1.0
HR Manager,Finance,UK,2021.0,40.35,39.82,70.48,67061.26,64359.81,-4.03,3.31,71.81,56.78,1.0
Customer Support Rep,Finance,USA,2025.0,49.46,53.52,53.74,86309.39,105892.92,22.69,6.88,69.4,28.9,2.0
Software Engineer,Finance,UK,2021.0,22.36,23.13,7.73,60944.4,59234.47,-2.81,-1.16,88.77,34.72,4.0
Financial Analyst,Finance,Canada,2025.0,69.59,67.74,75.87,41709.5,47120.46,12.97,4.21,83.54,91.6,4.0
Truck Driver,Finance,Japan,2024.0,45.85,54.1,15.17,39836.25,44765.47,12.37,2.42,52.61,82.93,3.0
Financial Analyst,Finance,USA,2023.0,68.07,77.23,81.45,107409.92,92104.32,-14.25,-4.74,10.77,83.36,4.0
Data Analyst,Finance,India,2026.0,6.12,6.44,50.41,93202.72,92472.66,-0.78,-0.15,15.68,78.91,5.0
Software Engineer,Finance,UK,2025.0,37.07,30.09,4.05,103520.22,100692.55,-2.73,18.44,59.91,79.98,1.0
Financial Analyst,Finance,India,2022.0,60.1,57.47,76.61,83435.37,78077.76,-6.42,-15.27,77.37,90.22,3.0
Teacher,Finance,USA,2026.0,67.34,68.84,48.47,130203.6,124012.61,-4.75,-1.64,18.01,27.17,3.0
Teacher,Finance,India,2020.0,35.98,38.82,47.58,130333.54,145660.9,11.76,16.35,29.54,98.42,4.0
Financial Analyst,Finance,Germany,2023.0,79.62,64.07,54.09,98839.99,98964.29,0.13,13.67,58.93,47.17,4.0
Financial Analyst,Finance,Brazil,2020.0,26.13,26.96,79.82,124393.57,103729.25,-16.61,20.5,85.2,72.99,2.0
HR Manager,Finance,India,2020.0,28.03,28.52,73.96,102600.37,93097.12,-9.26,2.38,80.27,36.38,5.0
Teacher,Finance,Canada,2020.0,48.12,42.45,69.53,118932.84,109302.43,-8.1,-7.51,99.14,37.43,3.0
Marketing Specialist,Finance,Germany,2026.0,49.39,41.15,18.56,56319.38,58759.05,4.33,-11.04,55.36,20.32,5.0
Accountant,Finance,Canada,2020.0,75.32,67.05,61.44,33360.64,33495.83,0.41,12.61,13.89,34.25,4.0
Software Engineer,Finance,Japan,2022.0,35.28,37.82,24.75,102056.74,93637.46,-8.25,-7.01,49.74,52.92,2.0
Accountant,Finance,UK,2022.0,79.49,94.09,0.59,35725.0,34274.02,-4.06,-4.47,84.69,89.27,5.0
HR Manager,Finance,Brazil,2023.0,54.88,64.18,78.3,51693.11,54518.61,5.47,16.58,70.21,83.23,4.0
Marketing Specialist,Finance,India,2020.0,60.39,68.45,39.5,97706.16,103452.63,5.88,-8.11,11.09,48.86,1.0
Teacher,Finance,India,2025.0,23.08,24.22,67.94,88503.31,89487.67,1.11,1.73,85.78,72.03,1.0
Teacher,Finance,Singapore,2021.0,42.66,49.45,14.96,129116.84,140720.92,8.99,-1.08,92.82,42.75,5.0
Teacher,Finance,Australia,2025.0,75.26,67.75,73.39,64158.65,56741.09,-11.56,-6.09,77.31,55.68,1.0
Software Engineer,Finance,Germany,2024.0,22.55,24.23,21.59,115126.89,116348.07,1.06,12.08,65.03,6.89,2.0
Accountant,Finance,Japan,2026.0,10.45,12.5,36.39,131771.36,117452.61,-10.87,6.03,81.78,70.98,1.0
Software Engineer,Finance,UK,2022.0,36.05,33.48,15.42,84380.81,86016.1,1.94,15.27,89.05,19.59,4.0
Teacher,Finance,India,2021.0,38.51,31.21,56.54,41529.12,43632.1,5.06,11.71,51.45,42.92,2.0
Truck Driver,Finance,UK,2024.0,25.26,27.88,76.14,124677.26,128353.13,2.95,3.04,25.95,68.22,4.0
HR Manager,Finance,UK,2026.0,54.87,45.22,9.57,34550.03,38986.53,12.84,3.3,38.18,38.42,1.0
HR Manager,Finance,Australia,2020.0,35.62,41.04,13.18,44668.1,36658.43,-17.93,4.52,61.19,45.16,3.0
Financial Analyst,Finance,Canada,2021.0,40.45,34.17,14.1,128529.43,124801.69,-2.9,9.22,20.21,5.34,1.0
Data Analyst,Finance,Australia,2020.0,42.58,46.25,37.28,111561.1,115101.64,3.17,6.55,15.84,19.23,5.0
Financial Analyst,Finance,Japan,2020.0,77.54,79.76,93.78,30910.97,36091.4,16.76,10.61,77.06,90.5,3.0
Software Engineer,Finance,Canada,2025.0,61.32,53.37,26.49,39167.2,32958.23,-15.85,8.56,31.91,99.07,4.0
Data Analyst,Finance,Brazil,2026.0,66.13,55.88,45.19,53089.32,47984.94,-9.61,4.48,80.68,69.71,3.0
Accountant,Finance,USA,2025.0,70.2,66.26,32.49,92045.8,83058.22,-9.76,14.75,74.3,55.51,3.0
Financial Analyst,Finance,Singapore,2025.0,16.78,15.01,5.16,149549.05,143740.4,-3.88,7.23,11.82,71.93,3.0
Truck Driver,Finance,Brazil,2026.0,85.03,80.77,1.68,76834.69,67240.63,-12.49,12.85,48.88,5.67,5.0
Truck Driver,Finance,Australia,2020.0,49.16,39.67,25.14,67119.21,59497.17,-11.36,9.05,47.17,48.25,5.0
Customer Support Rep,Finance,USA,2021.0,71.9,64.93,24.51,115766.66,138727.52,19.83,7.32,34.25,59.87,3.0
Marketing Specialist,Finance,Singapore,2020.0,67.88,56.37,34.85,128718.73,111576.65,-13.32,14.41,86.08,49.33,1.0
Data Analyst,Finance,Australia,2026.0,17.87,18.86,85.92,140038.01,183402.02,30.97,5.29,84.97,53.76,2.0
Truck Driver,Finance,UK,2020.0,86.78,103.0,43.91,144040.26,139420.22,-3.21,6.67,71.36,68.67,3.0
Truck Driver,Finance,Singapore,2022.0,50.56,50.14,18.64,44422.98,43423.82,-2.25,-1.27,96.25,8.32,5.0
Data Analyst,Finance,Singapore,2025.0,20.62,16.56,29.67,63757.26,63428.39,-0.52,-2.72,59.35,9.29,1.0
Customer Support Rep,Finance,Australia,2023.0,44.98,41.34,46.89,32614.67,30468.96,-6.58,15.41,86.84,80.26,4.0
HR Manager,Finance,Canada,2026.0,61.14,69.18,74.6,105682.46,115020.82,8.84,3.4,68.59,39.84,5.0
Teacher,Finance,UK,2022.0,10.28,11.19,42.55,67508.97,71843.35,6.42,10.05,97.78,64.2,5.0
Financial Analyst,Finance,Germany,2025.0,48.49,44.03,78.62,62366.04,66707.9,6.96,19.71,25.3,90.51,1.0
Mechanical Engineer,Finance,USA,2021.0,41.1,43.72,43.98,113679.09,103993.96,-8.52,7.96,80.29,72.07,5.0
Software Engineer,Finance,India,2024.0,39.58,35.24,91.81,52941.96,46712.29,-11.77,11.29,28.34,32.46,3.0
Data Analyst,Finance,Brazil,2023.0,60.75,55.93,45.41,93137.13,94171.58,1.11,-12.36,53.19,60.47,1.0
Mechanical Engineer,Finance,Australia,2022.0,43.56,51.13,24.05,62882.96,72854.18,15.86,14.56,55.5,69.42,3.0
Data Analyst,Finance,Germany,2020.0,29.63,30.38,95.07,43063.25,43461.08,0.92,1.0,95.42,98.97,2.0
Customer Support Rep,Finance,Canada,2022.0,79.94,67.54,38.11,122947.23,127897.79,4.03,4.3,76.22,1.55,4.0
HR Manager,Finance,Canada,2025.0,73.22,59.19,47.46,141738.97,123040.84,-13.19,-14.31,62.07,46.29,2.0
Data Analyst,Finance,USA,2025.0,23.09,19.04,47.6,62380.51,66675.01,6.88,8.4,50.77,77.16,5.0
Marketing Specialist,Finance,USA,2024.0,19.19,20.47,88.91,81063.8,69852.53,-13.83,-15.93,17.4,89.2,2.0
Truck Driver,Finance,Singapore,2020.0,27.49,32.44,27.54,31942.16,32399.85,1.43,-2.57,22.4,4.17,4.0
Financial Analyst,Finance,UK,2023.0,42.72,46.54,49.51,81832.01,82936.25,1.35,-21.17,43.02,74.88,5.0
Software Engineer,Finance,Singapore,2025.0,20.98,18.18,14.77,67789.15,55981.88,-17.42,16.4,11.86,9.69,3.0
HR Manager,Finance,USA,2026.0,24.49,29.28,83.1,100676.71,112995.31,12.24,18.35,15.26,21.8,1.0
Teacher,Finance,Singapore,2024.0,46.33,49.53,4.43,56527.9,45314.11,-19.84,-0.2,74.14,51.12,5.0
Customer Support Rep,Finance,Germany,2022.0,36.23,41.94,29.29,117735.73,146208.42,24.18,4.69,40.14,67.82,1.0
Accountant,Finance,USA,2022.0,17.78,18.42,68.17,142119.6,150944.28,6.21,17.1,20.51,37.37,3.0
Data Analyst,Finance,Japan,2026.0,5.0,4.02,69.91,63514.5,67073.1,5.6,-14.86,19.22,64.27,5.0
Marketing Specialist,Finance,Japan,2023.0,35.18,40.07,32.79,114233.38,112824.75,-1.23,0.1,40.89,81.67,3.0
Mechanical Engineer,Finance,Canada,2020.0,24.48,27.21,80.45,128657.39,110858.06,-13.83,3.78,18.98,74.34,3.0
Data Analyst,Finance,Germany,2021.0,49.39,55.89,87.77,107116.76,108073.96,0.89,14.85,34.96,88.01,2.0
Marketing Specialist,Finance,UK,2024.0,62.21,54.41,23.55,125157.87,123478.83,-1.34,-3.73,12.08,34.68,4.0
Financial Analyst,Finance,Japan,2020.0,54.09,50.46,83.67,115992.75,130960.75,12.9,-3.25,94.64,9.31,4.0
Truck Driver,Finance,Australia,2023.0,85.58,96.61,12.32,74892.62,84157.96,12.37,18.12,87.43,14.03,4.0
Mechanical Engineer,Finance,Australia,2022.0,63.2,61.81,72.62,111874.45,121047.87,8.2,14.46,44.02,7.74,5.0
Customer Support Rep,Finance,UK,2022.0,93.83,86.18,24.03,106565.78,122262.75,14.73,-9.2,37.45,61.79,3.0
Mechanical Engineer,Finance,Singapore,2022.0,30.26,34.99,17.3,140744.78,166336.1,18.18,6.92,19.92,26.9,5.0
Marketing Specialist,Finance,USA,2021.0,48.76,41.4,80.21,124091.36,123364.1,-0.59,2.59,16.19,79.21,2.0
Data Analyst,Finance,India,2020.0,60.03,49.56,95.33,103519.35,99369.62,-4.01,18.0,38.77,46.32,1.0
Financial Analyst,Finance,Japan,2024.0,12.26,13.49,65.55,122128.9,125344.13,2.63,4.97,13.95,23.44,5.0
Customer Support Rep,Finance,UK,2024.0,79.42,81.99,28.66,118093.84,115850.27,-1.9,5.35,91.15,54.56,1.0
Marketing Specialist,Finance,India,2023.0,23.45,21.25,38.4,104791.08,83122.19,-20.68,-6.53,60.83,24.18,5.0
Data Analyst,Finance,UK,2022.0,5.52,4.47,25.13,40991.04,45717.04,11.53,-1.91,74.47,61.09,3.0
Accountant,Finance,India,2023.0,69.68,63.6,88.51,77908.7,65665.43,-15.71,-11.46,18.83,97.55,3.0
Teacher,Finance,Japan,2025.0,55.2,66.16,23.23,63548.52,53298.04,-16.13,5.69,93.91,98.15,1.0
Customer Support Rep,Finance,UK,2022.0,66.79,53.72,87.98,83360.1,83294.0,-0.08,12.67,72.48,6.93,3.0
Mechanical Engineer,Finance,Singapore,2023.0,13.71,11.4,2.08,74500.09,69169.28,-7.16,10.37,64.53,28.88,2.0
Mechanical Engineer,Finance,USA,2022.0,21.93,25.02,86.79,110867.82,121985.76,10.03,21.86,28.26,42.83,1.0
Customer Support Rep,Finance,Singapore,2022.0,31.72,31.76,45.62,79224.6,76132.43,-3.9,15.97,15.73,6.58,5.0
Marketing Specialist,Finance,Singapore,2025.0,57.94,57.17,33.67,104298.19,103718.39,-0.56,8.63,45.26,46.43,4.0
Data Analyst,Finance,Japan,2021.0,18.83,20.34,12.65,36368.73,38974.3,7.16,16.56,54.87,46.78,5.0
Truck Driver,Finance,Australia,2024.0,77.43,68.23,86.23,71105.06,89073.38,25.27,1.41,32.29,77.14,1.0
Accountant,Finance,Australia,2026.0,64.28,75.35,35.88,126670.11,94873.1,-25.1,4.61,94.46,51.04,4.0
Marketing Specialist,Finance,UK,2023.0,46.55,40.85,68.95,138357.21,126009.31,-8.92,14.37,66.15,69.58,1.0
Customer Support Rep,Finance,Germany,2020.0,28.05,31.03,57.25,81053.89,76757.95,-5.3,0.97,92.16,66.9,1.0
Marketing Specialist,Finance,Singapore,2026.0,51.78,48.75,46.42,69369.51,77745.36,12.07,1.43,63.41,99.73,4.0
Marketing Specialist,Finance,USA,2023.0,52.56,52.58,38.22,137840.73,126596.98,-8.16,-4.75,21.02,75.91,3.0
HR Manager,Finance,Australia,2024.0,64.95,57.93,97.29,40138.81,40748.31,1.52,-1.86,75.05,96.09,1.0
Accountant,Finance,Brazil,2020.0,14.96,13.97,1.78,119939.46,113294.28,-5.54,6.78,96.83,2.26,2.0
Customer Support Rep,Finance,Japan,2020.0,66.3,73.63,78.79,34114.22,31373.03,-8.04,32.53,14.04,56.2,5.0
HR Manager,Finance,Japan,2022.0,68.08,72.04,36.42,90080.0,92307.59,2.47,12.61,45.83,12.03,3.0
Teacher,Finance,UK,2025.0,15.44,14.83,59.4,64457.31,63353.99,-1.71,6.71,43.04,12.49,2.0
Customer Support Rep,Finance,UK,2025.0,43.23,38.27,86.74,101864.4,92101.21,-9.58,-0.75,46.3,47.08,4.0
Teacher,Finance,USA,2024.0,72.68,74.42,29.22,119116.11,104206.37,-12.52,5.22,61.91,91.14,3.0
Accountant,Finance,Japan,2023.0,71.75,77.17,27.81,83620.95,88086.84,5.34,4.17,25.78,8.96,4.0
Data Analyst,Finance,UK,2026.0,61.64,71.42,87.17,91317.23,98276.19,7.62,24.21,16.25,59.58,5.0
HR Manager,Finance,India,2023.0,10.95,10.19,93.23,66485.43,73239.4,10.16,-9.67,78.55,50.14,2.0
HR Manager,Finance,Brazil,2024.0,48.34,52.42,86.06,142267.87,151162.86,6.25,16.64,49.03,11.21,2.0
Financial Analyst,Finance,Japan,2022.0,49.07,43.64,94.22,113599.98,105033.26,-7.54,-6.17,92.97,88.75,1.0
Marketing Specialist,Finance,Brazil,2023.0,69.83,60.05,94.59,90896.92,88938.31,-2.15,10.63,74.44,48.29,2.0
Truck Driver,Finance,Australia,2022.0,52.73,54.59,25.78,112782.2,122433.37,8.56,0.25,29.56,1.48,2.0
Software Engineer,Finance,USA,2021.0,59.24,54.97,43.81,86449.62,79613.95,-7.91,-9.55,63.87,58.02,4.0
Mechanical Engineer,Finance,USA,2022.0,38.78,34.66,51.42,125695.74,129338.54,2.9,7.78,40.47,79.35,4.0
Customer Support Rep,Finance,Australia,2025.0,52.55,58.3,97.44,62531.39,65135.97,4.17,6.97,71.77,68.11,2.0
Software Engineer,Finance,Canada,2024.0,67.82,78.76,51.2,138681.56,119149.32,-14.08,0.0,30.94,66.23,5.0
