JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Training and development officer,Entertainment,Decreasing,Moderate,68546.8,Bachelor's Degree,10.0,7276.0,2912.0,50.51,56.14,Brazil,36.28,-59.98
"Producer, television/film/video",Entertainment,Increasing,High,41289.84,High School,20.0,1598.0,1708.0,61.83,4.0,India,71.71,6.88
Hydrologist,Entertainment,Decreasing,Low,59384.53,Bachelor's Degree,14.0,6166.0,7259.0,78.97,31.13,Germany,47.04,17.73
Jewellery designer,Entertainment,Decreasing,High,58729.17,Associate Degree,7.0,3238.0,4693.0,33.54,60.66,UK,20.76,44.94
Magazine features editor,Entertainment,Increasing,Moderate,88571.71,High School,19.0,3454.0,1245.0,16.3,91.39,India,47.67,-63.95
"Accountant, chartered certified",Entertainment,Increasing,High,135397.82,PhD,3.0,6486.0,9616.0,39.27,81.4,UK,48.78,48.26
"Psychologist, counselling",Entertainment,Increasing,Low,69323.5,Bachelor's Degree,17.0,1240.0,5787.0,18.54,94.01,Australia,73.61,366.69
"Conservator, museum/gallery",Entertainment,Decreasing,Low,81861.82,PhD,2.0,3728.0,9821.0,27.89,49.64,Brazil,24.51,163.44
"Teacher, primary school",Entertainment,Increasing,High,122637.17,High School,1.0,4825.0,9374.0,70.71,46.39,Australia,58.51,94.28
"Merchandiser, retail",Entertainment,Increasing,High,105735.14,High School,13.0,949.0,747.0,16.66,94.3,Germany,46.2,-21.29
Financial adviser,Entertainment,Increasing,High,132317.59,Associate Degree,3.0,3196.0,1308.0,85.41,56.07,UK,50.94,-59.07
Human resources officer,Entertainment,Increasing,Low,127905.17,PhD,13.0,8328.0,5922.0,2.24,61.23,USA,24.62,-28.89
Curator,Entertainment,Increasing,Moderate,36586.93,Bachelor's Degree,3.0,2172.0,6467.0,65.97,64.15,Germany,40.91,197.74
Barrister,Entertainment,Decreasing,High,51976.42,Master's Degree,8.0,2651.0,6831.0,43.56,44.71,Canada,60.78,157.68
"Designer, textile",Entertainment,Increasing,High,44466.7,High School,6.0,7925.0,7969.0,56.53,50.12,Canada,41.59,0.56
Human resources officer,Entertainment,Increasing,Moderate,55312.58,Bachelor's Degree,1.0,3055.0,3437.0,41.32,16.53,India,76.21,12.5
Sales promotion account executive,Entertainment,Increasing,High,55224.27,Associate Degree,0.0,6561.0,6103.0,50.85,29.84,Canada,58.28,-6.98
Corporate treasurer,Entertainment,Decreasing,High,41798.04,Master's Degree,8.0,4589.0,3034.0,40.43,13.01,Brazil,35.93,-33.89
Tour manager,Entertainment,Decreasing,Low,119025.7,PhD,1.0,6317.0,8022.0,59.05,73.1,Germany,54.48,26.99
Freight forwarder,Entertainment,Increasing,High,117006.55,Master's Degree,2.0,8153.0,3774.0,74.57,72.35,India,44.8,-53.71
Regulatory affairs officer,Entertainment,Increasing,Low,113212.53,PhD,18.0,9433.0,648.0,22.2,50.47,Australia,55.39,-93.13
Furniture designer,Entertainment,Increasing,Low,72133.42,Bachelor's Degree,6.0,2493.0,5946.0,56.0,77.22,Brazil,29.58,138.51
Chartered accountant,Entertainment,Increasing,High,127551.04,Bachelor's Degree,5.0,6480.0,9128.0,19.99,65.42,China,27.13,40.86
Chartered accountant,Entertainment,Decreasing,High,45384.21,High School,11.0,2181.0,5064.0,9.79,48.08,UK,65.81,132.19
Technical sales engineer,Entertainment,Decreasing,Moderate,109211.04,Master's Degree,14.0,9180.0,4692.0,82.75,41.0,USA,33.23,-48.89
"Psychologist, clinical",Entertainment,Increasing,Low,43883.83,Associate Degree,17.0,4992.0,4556.0,25.13,43.66,India,70.28,-8.73
"Lecturer, higher education",Entertainment,Increasing,Moderate,85448.72,Associate Degree,13.0,2671.0,1088.0,3.49,34.56,Australia,52.98,-59.27
"Administrator, Civil Service",Entertainment,Decreasing,Low,51948.9,Bachelor's Degree,7.0,3020.0,8904.0,98.29,90.65,India,64.1,194.83
Warden/ranger,Entertainment,Increasing,High,106860.07,PhD,15.0,2254.0,618.0,43.57,20.63,USA,66.46,-72.58
English as a foreign language teacher,Entertainment,Decreasing,Moderate,79937.93,High School,14.0,7810.0,7247.0,84.08,78.61,Canada,24.8,-7.21
Landscape architect,Entertainment,Decreasing,Low,132427.72,Associate Degree,14.0,164.0,515.0,22.74,64.49,China,38.1,214.02
Transport planner,Entertainment,Increasing,High,141464.83,PhD,7.0,3797.0,5201.0,18.57,74.74,Australia,51.83,36.98
"Teacher, primary school",Entertainment,Decreasing,Low,125575.03,Bachelor's Degree,20.0,7648.0,8376.0,56.21,40.64,Canada,40.52,9.52
Television floor manager,Entertainment,Increasing,High,69071.51,Associate Degree,6.0,6360.0,6785.0,8.33,66.5,China,49.4,6.68
Actor,Entertainment,Decreasing,High,49365.12,Bachelor's Degree,10.0,6477.0,2291.0,17.02,53.02,China,48.06,-64.63
Psychotherapist,Entertainment,Increasing,High,138077.62,High School,17.0,6396.0,9221.0,7.94,86.02,UK,67.17,44.17
Warden/ranger,Entertainment,Decreasing,High,137886.33,PhD,11.0,9989.0,5707.0,74.67,51.07,Australia,30.51,-42.87
Physiological scientist,Entertainment,Increasing,Moderate,79891.35,Master's Degree,4.0,1661.0,7034.0,64.09,62.29,India,36.76,323.48
Astronomer,Entertainment,Decreasing,High,50712.86,Associate Degree,15.0,5763.0,7033.0,19.2,34.14,China,78.01,22.04
"Horticulturist, commercial",Entertainment,Increasing,High,81793.06,Master's Degree,9.0,2754.0,8099.0,82.45,15.25,Canada,28.67,194.08
Further education lecturer,Entertainment,Decreasing,Moderate,79852.28,Master's Degree,20.0,5307.0,5001.0,87.0,64.04,Australia,34.56,-5.77
Medical illustrator,Entertainment,Increasing,Moderate,149649.78,Associate Degree,20.0,2657.0,2058.0,33.76,94.8,USA,51.87,-22.54
Environmental manager,Entertainment,Decreasing,High,126935.64,PhD,0.0,8988.0,8545.0,24.47,30.4,Australia,42.42,-4.93
Financial manager,Entertainment,Decreasing,High,53316.7,PhD,10.0,6902.0,7930.0,89.49,4.75,Brazil,60.18,14.89
Orthoptist,Entertainment,Increasing,Low,127063.34,PhD,17.0,5590.0,2528.0,22.93,93.87,Germany,64.29,-54.78
Estate manager/land agent,Entertainment,Decreasing,Low,108603.18,Bachelor's Degree,6.0,4111.0,409.0,21.81,71.06,Brazil,51.45,-90.05
Environmental health practitioner,Entertainment,Decreasing,Moderate,86055.22,Associate Degree,11.0,3779.0,8605.0,4.25,74.25,Brazil,61.52,127.71
Psychiatrist,Entertainment,Decreasing,Moderate,70842.67,Master's Degree,13.0,7519.0,2360.0,27.99,98.56,USA,33.75,-68.61
"Development worker, community",Entertainment,Increasing,Moderate,109072.51,Bachelor's Degree,8.0,7189.0,295.0,57.73,23.35,USA,66.05,-95.9
Air cabin crew,Entertainment,Increasing,High,93798.86,PhD,0.0,1943.0,9255.0,54.77,2.85,USA,59.85,376.33
Passenger transport manager,Entertainment,Decreasing,Low,76301.29,Master's Degree,5.0,8388.0,7802.0,3.88,52.18,UK,61.15,-6.99
"Production assistant, radio",Entertainment,Increasing,Low,59432.42,High School,10.0,4333.0,9912.0,21.97,84.46,UK,28.56,128.76
Retail buyer,Entertainment,Increasing,Low,39847.89,Bachelor's Degree,3.0,4043.0,212.0,47.66,60.17,Germany,72.01,-94.76
Public relations account executive,Entertainment,Increasing,High,99137.08,Master's Degree,15.0,2429.0,2359.0,44.54,48.75,Australia,36.71,-2.88
Music tutor,Entertainment,Decreasing,Moderate,101297.55,Master's Degree,11.0,9468.0,4628.0,47.17,24.0,Germany,78.46,-51.12
Local government officer,Entertainment,Increasing,High,58951.91,Master's Degree,13.0,8322.0,9366.0,82.64,54.01,Australia,32.22,12.55
Pension scheme manager,Entertainment,Increasing,Moderate,37191.5,Master's Degree,4.0,2488.0,7855.0,60.34,47.71,India,27.29,215.72
Legal executive,Entertainment,Increasing,Low,60716.12,PhD,6.0,6669.0,480.0,43.52,74.0,Brazil,39.76,-92.8
Interpreter,Entertainment,Increasing,High,135627.25,High School,15.0,790.0,892.0,86.22,72.06,Brazil,50.35,12.91
Arts development officer,Entertainment,Increasing,High,81938.89,Bachelor's Degree,17.0,2032.0,9803.0,77.28,78.67,China,57.01,382.43
Counsellor,Entertainment,Decreasing,High,88875.76,Bachelor's Degree,17.0,614.0,3451.0,57.32,10.44,Germany,70.25,462.05
Barista,Entertainment,Increasing,Low,96525.21,PhD,14.0,8937.0,3794.0,51.02,28.84,Germany,61.39,-57.55
Operations geologist,Entertainment,Decreasing,Low,40775.14,PhD,1.0,1901.0,5596.0,59.11,75.43,USA,69.83,194.37
Animator,Entertainment,Increasing,Low,101484.37,High School,6.0,5770.0,250.0,98.1,1.78,USA,38.71,-95.67
Armed forces logistics/support/administrative officer,Entertainment,Increasing,Low,122898.17,Bachelor's Degree,18.0,1129.0,1143.0,60.61,1.26,Germany,25.49,1.24
"Engineer, water",Entertainment,Increasing,High,127586.67,Associate Degree,0.0,8873.0,8203.0,20.33,48.47,China,74.5,-7.55
Chartered certified accountant,Entertainment,Decreasing,High,73436.6,Master's Degree,0.0,2828.0,9552.0,2.24,15.44,Canada,38.62,237.77
Race relations officer,Entertainment,Decreasing,Moderate,98387.4,Bachelor's Degree,2.0,6218.0,339.0,4.38,22.13,China,21.16,-94.55
Dentist,Entertainment,Decreasing,Moderate,80410.5,High School,6.0,6359.0,4608.0,20.52,53.76,Germany,78.65,-27.54
Science writer,Entertainment,Increasing,High,106746.58,Bachelor's Degree,11.0,8341.0,8110.0,68.37,6.04,India,20.2,-2.77
Special educational needs teacher,Entertainment,Decreasing,Low,129598.45,Bachelor's Degree,13.0,9947.0,2489.0,57.98,12.42,Germany,63.89,-74.98
"Surveyor, hydrographic",Entertainment,Decreasing,Moderate,137868.51,Master's Degree,17.0,8964.0,545.0,42.54,60.98,Germany,62.59,-93.92
Television production assistant,Entertainment,Increasing,Moderate,74482.24,High School,16.0,6343.0,1637.0,47.14,57.52,China,21.39,-74.19
"Buyer, industrial",Entertainment,Increasing,Moderate,111722.15,Master's Degree,0.0,9227.0,3031.0,0.58,66.67,China,42.37,-67.15
"Scientist, clinical (histocompatibility and immunogenetics)",Entertainment,Decreasing,Moderate,101261.29,Associate Degree,17.0,6996.0,6754.0,98.29,24.49,China,64.86,-3.46
Contracting civil engineer,Entertainment,Increasing,Moderate,127602.99,Associate Degree,2.0,9212.0,6823.0,65.73,93.02,Germany,64.35,-25.93
Operational investment banker,Entertainment,Decreasing,Moderate,80065.34,Master's Degree,19.0,9623.0,2683.0,36.08,48.29,Germany,26.41,-72.12
Building services engineer,Entertainment,Decreasing,Low,145633.31,Master's Degree,20.0,5709.0,2758.0,95.5,96.94,Canada,38.81,-51.69
Pharmacologist,Entertainment,Decreasing,Moderate,131705.46,Associate Degree,7.0,5344.0,680.0,13.59,14.26,Brazil,30.67,-87.28
Facilities manager,Entertainment,Decreasing,High,41190.38,Bachelor's Degree,8.0,7345.0,3543.0,44.0,49.74,UK,39.94,-51.76
"Psychologist, prison and probation services",Entertainment,Decreasing,High,84916.44,Bachelor's Degree,3.0,3645.0,5061.0,29.68,68.57,Australia,44.29,38.85
Lawyer,Entertainment,Increasing,Low,85618.47,Bachelor's Degree,13.0,2155.0,2824.0,88.49,37.05,Canada,25.19,31.04
Clinical molecular geneticist,Entertainment,Increasing,Low,73443.05,Bachelor's Degree,10.0,6877.0,7690.0,71.81,84.48,USA,56.51,11.82
Art gallery manager,Entertainment,Decreasing,Moderate,122444.52,PhD,3.0,9181.0,9996.0,15.28,89.13,Canada,20.89,8.88
"Scientist, marine",Entertainment,Decreasing,Low,48666.6,High School,20.0,8677.0,8408.0,21.56,24.57,Australia,41.7,-3.1
Research scientist (medical),Entertainment,Decreasing,Low,34430.94,High School,16.0,8401.0,8764.0,55.32,92.65,India,62.23,4.32
Oncologist,Entertainment,Increasing,High,68003.08,Associate Degree,7.0,2442.0,4699.0,97.01,96.74,China,67.96,92.42
Contracting civil engineer,Entertainment,Decreasing,Moderate,131881.48,Master's Degree,1.0,5055.0,5449.0,38.32,79.07,USA,72.13,7.79
"Radiographer, diagnostic",Entertainment,Decreasing,Moderate,64735.73,High School,9.0,7710.0,4198.0,73.1,31.67,USA,24.68,-45.55
Firefighter,Entertainment,Decreasing,High,140554.51,High School,13.0,5167.0,9048.0,13.48,11.05,Brazil,61.3,75.11
"Programmer, systems",Entertainment,Increasing,Moderate,43223.59,High School,0.0,4704.0,8593.0,60.58,52.91,USA,77.89,82.67
Call centre manager,Entertainment,Increasing,Low,115329.77,Bachelor's Degree,20.0,8666.0,4384.0,8.1,83.76,Germany,50.38,-49.41
"Research officer, government",Entertainment,Decreasing,Moderate,72407.67,Master's Degree,6.0,138.0,8727.0,69.24,70.64,USA,37.17,6223.91
"Producer, radio",Entertainment,Increasing,Low,89997.78,High School,9.0,6466.0,7055.0,2.9,48.19,USA,33.73,9.11
Petroleum engineer,Entertainment,Increasing,High,37737.58,High School,18.0,5336.0,2120.0,87.7,21.43,UK,52.63,-60.27
Video editor,Entertainment,Increasing,Moderate,126584.39,Master's Degree,4.0,2123.0,5965.0,86.63,64.44,Canada,62.62,180.97
Health visitor,Entertainment,Increasing,High,55355.84,PhD,11.0,8132.0,3030.0,46.81,42.31,India,49.34,-62.74
Nutritional therapist,Entertainment,Increasing,Low,112289.13,High School,20.0,4769.0,705.0,38.34,65.69,USA,44.76,-85.22
Occupational therapist,Entertainment,Increasing,High,128235.92,Bachelor's Degree,16.0,7754.0,7812.0,0.37,9.55,USA,54.8,0.75
Company secretary,Entertainment,Increasing,Moderate,141480.75,High School,0.0,1939.0,1766.0,88.14,59.74,Brazil,41.85,-8.92
Special educational needs teacher,Entertainment,Decreasing,High,117926.22,Bachelor's Degree,10.0,6163.0,7239.0,81.58,33.37,China,72.94,17.46
"Designer, graphic",Entertainment,Decreasing,Moderate,148348.31,Master's Degree,9.0,1218.0,2011.0,30.73,20.43,China,74.01,65.11
Psychiatric nurse,Entertainment,Increasing,Moderate,140005.23,High School,8.0,4714.0,7571.0,20.37,50.07,UK,75.68,60.61
Land,Entertainment,Decreasing,Moderate,53447.33,Master's Degree,5.0,7584.0,8249.0,37.17,56.1,Australia,33.05,8.77
"Production assistant, television",Entertainment,Increasing,Low,118068.81,PhD,14.0,839.0,1377.0,53.43,24.47,Australia,57.19,64.12
Estate manager/land agent,Entertainment,Decreasing,Moderate,50873.24,Master's Degree,1.0,8185.0,3377.0,13.58,31.38,India,40.29,-58.74
"Doctor, hospital",Entertainment,Increasing,Low,58156.84,Bachelor's Degree,3.0,7247.0,9727.0,99.09,97.0,USA,75.01,34.22
Psychotherapist,Entertainment,Decreasing,High,133472.65,Associate Degree,0.0,5255.0,2425.0,8.93,12.35,Brazil,63.45,-53.85
IT technical support officer,Entertainment,Decreasing,Low,126638.93,Bachelor's Degree,12.0,212.0,9627.0,84.9,80.43,China,41.23,4441.04
Warehouse manager,Entertainment,Decreasing,Low,110087.87,High School,7.0,1933.0,6874.0,28.41,11.5,USA,51.47,255.61
Communications engineer,Entertainment,Increasing,Moderate,63901.39,PhD,1.0,9619.0,5013.0,39.21,30.68,Brazil,32.47,-47.88
"Geologist, engineering",Entertainment,Increasing,Low,88828.96,High School,6.0,3793.0,8816.0,73.18,29.88,UK,27.05,132.43
Proofreader,Entertainment,Increasing,Low,149500.88,Master's Degree,20.0,5737.0,5899.0,3.16,48.05,Australia,64.48,2.82
Media buyer,Entertainment,Decreasing,High,144144.96,Associate Degree,13.0,8650.0,1169.0,8.38,55.87,UK,26.86,-86.49
Freight forwarder,Entertainment,Decreasing,High,123504.71,Bachelor's Degree,2.0,9825.0,8024.0,65.08,51.96,Canada,50.14,-18.33
"Programme researcher, broadcasting/film/video",Entertainment,Increasing,Low,78935.74,High School,17.0,2397.0,2093.0,55.93,77.98,China,53.89,-12.68
Petroleum engineer,Entertainment,Decreasing,Low,59712.2,High School,18.0,8599.0,3246.0,92.11,92.36,Brazil,79.97,-62.25
Veterinary surgeon,Entertainment,Increasing,Moderate,130785.77,Master's Degree,18.0,7936.0,6779.0,63.01,93.95,Canada,35.72,-14.58
Herbalist,Entertainment,Increasing,Low,63016.12,Bachelor's Degree,9.0,3244.0,3173.0,55.4,15.91,USA,76.68,-2.19
"Horticulturist, commercial",Entertainment,Decreasing,Low,87141.91,Associate Degree,17.0,4333.0,3245.0,97.52,78.86,Canada,63.46,-25.11
"Engineer, chemical",Entertainment,Decreasing,Moderate,133418.27,Master's Degree,5.0,7902.0,5180.0,4.47,76.83,UK,73.31,-34.45
Leisure centre manager,Entertainment,Increasing,Low,136168.23,PhD,12.0,3889.0,7806.0,87.04,92.61,Canada,44.01,100.72
"Scientist, biomedical",Entertainment,Increasing,High,85298.4,Associate Degree,4.0,3946.0,7707.0,96.45,35.0,Canada,33.85,95.31
Marine scientist,Entertainment,Decreasing,Moderate,143270.55,PhD,11.0,6634.0,2660.0,83.45,80.35,Germany,79.73,-59.9
Civil Service fast streamer,Entertainment,Decreasing,High,84547.72,Associate Degree,10.0,3342.0,9263.0,31.82,6.33,USA,64.54,177.17
"Accountant, chartered",Entertainment,Decreasing,High,104136.35,High School,17.0,643.0,4031.0,62.41,10.95,Canada,44.89,526.91
Chiropractor,Entertainment,Increasing,Low,101877.49,Associate Degree,18.0,1504.0,8014.0,66.56,0.94,China,73.78,432.85
Environmental education officer,Entertainment,Decreasing,High,82080.41,Master's Degree,18.0,3714.0,6511.0,84.85,21.3,Germany,54.05,75.31
Petroleum engineer,Entertainment,Decreasing,Moderate,91966.36,Associate Degree,2.0,431.0,3254.0,52.96,94.22,Canada,61.61,654.99
"Therapist, nutritional",Entertainment,Decreasing,Low,74650.74,Bachelor's Degree,4.0,6179.0,9525.0,41.54,53.98,Brazil,27.87,54.15
Adult guidance worker,Entertainment,Increasing,Low,121949.14,PhD,10.0,8739.0,5361.0,18.45,72.45,India,22.24,-38.65
"Scientist, biomedical",Entertainment,Decreasing,High,64387.86,PhD,14.0,4275.0,2700.0,87.12,74.37,Brazil,70.17,-36.84
Accounting technician,Entertainment,Decreasing,High,75804.25,Bachelor's Degree,15.0,4685.0,8736.0,86.09,92.08,Brazil,64.13,86.47
Tourism officer,Entertainment,Decreasing,Low,33347.44,Master's Degree,8.0,7465.0,6070.0,5.49,41.81,China,48.02,-18.69
Air traffic controller,Entertainment,Decreasing,Low,147193.89,Associate Degree,12.0,8792.0,5967.0,10.73,49.77,USA,76.72,-32.13
Public relations officer,Entertainment,Decreasing,Moderate,145289.27,Master's Degree,12.0,8404.0,6980.0,73.94,63.52,Germany,42.73,-16.94
Translator,Entertainment,Decreasing,High,63441.35,High School,0.0,6917.0,7571.0,54.6,12.06,Germany,64.97,9.45
"Geneticist, molecular",Entertainment,Increasing,Moderate,50532.93,Bachelor's Degree,1.0,9381.0,1095.0,81.24,44.88,Canada,55.92,-88.33
Production manager,Entertainment,Increasing,Low,123074.03,Master's Degree,20.0,5394.0,1636.0,38.39,78.73,Germany,32.3,-69.67
Chartered public finance accountant,Entertainment,Increasing,Low,122104.42,PhD,18.0,6585.0,8398.0,2.28,57.14,Brazil,42.13,27.53
Multimedia specialist,Entertainment,Decreasing,Low,124734.28,High School,8.0,341.0,5752.0,83.31,91.89,USA,39.6,1586.8
"Conservation officer, historic buildings",Entertainment,Decreasing,High,119301.98,High School,3.0,5152.0,2019.0,72.54,16.2,India,50.09,-60.81
Meteorologist,Entertainment,Decreasing,Low,105547.23,Master's Degree,19.0,2389.0,4789.0,25.38,96.95,India,77.1,100.46
Gaffer,Entertainment,Increasing,Low,123991.16,Master's Degree,15.0,1506.0,761.0,84.33,60.57,India,74.52,-49.47
"Programmer, systems",Entertainment,Increasing,High,50550.97,High School,3.0,4940.0,239.0,23.39,74.24,Canada,64.36,-95.16
Astronomer,Entertainment,Increasing,High,34082.95,Bachelor's Degree,14.0,6600.0,6032.0,38.46,15.72,Canada,29.76,-8.61
Veterinary surgeon,Entertainment,Increasing,High,36676.24,Bachelor's Degree,10.0,9520.0,9722.0,0.85,4.78,UK,50.62,2.12
Animal technologist,Entertainment,Increasing,Moderate,62847.41,PhD,4.0,679.0,2746.0,81.73,59.5,Germany,74.86,304.42
Local government officer,Entertainment,Decreasing,High,50135.21,High School,12.0,2949.0,582.0,63.18,78.86,UK,52.4,-80.26
Careers adviser,Entertainment,Decreasing,High,68755.87,High School,6.0,2280.0,4796.0,37.92,57.83,Germany,49.67,110.35
Sales executive,Entertainment,Decreasing,Moderate,118654.12,High School,9.0,7931.0,1882.0,64.43,34.74,India,24.89,-76.27
Soil scientist,Entertainment,Decreasing,High,66155.86,PhD,6.0,4620.0,3474.0,60.46,38.01,UK,56.5,-24.81
"Designer, multimedia",Entertainment,Decreasing,Moderate,90971.18,High School,2.0,8524.0,2954.0,27.57,35.04,India,39.64,-65.34
Energy engineer,Entertainment,Decreasing,Low,126947.14,High School,20.0,5659.0,5042.0,4.33,75.96,Canada,27.8,-10.9
"Engineer, manufacturing systems",Entertainment,Increasing,Moderate,43036.62,Associate Degree,10.0,7460.0,9086.0,92.28,11.72,Germany,57.52,21.8
"Therapist, drama",Entertainment,Increasing,Moderate,108738.49,High School,18.0,8475.0,424.0,78.44,84.02,Germany,33.78,-95.0
IT sales professional,Entertainment,Decreasing,Moderate,137502.63,Master's Degree,8.0,4256.0,1988.0,60.47,89.73,India,68.32,-53.29
Financial planner,Entertainment,Increasing,Low,80118.56,High School,14.0,4153.0,6680.0,12.93,79.6,USA,71.22,60.85
Educational psychologist,Entertainment,Increasing,Low,109025.5,Associate Degree,3.0,4054.0,3184.0,49.45,99.27,China,51.6,-21.46
Audiological scientist,Entertainment,Decreasing,Moderate,126971.74,High School,1.0,3311.0,3493.0,29.71,36.81,UK,67.41,5.5
Field seismologist,Entertainment,Increasing,High,108577.79,PhD,9.0,7231.0,2351.0,25.89,59.9,China,27.11,-67.49
Fitness centre manager,Entertainment,Increasing,Low,136872.09,High School,6.0,3554.0,2803.0,89.87,30.33,India,75.57,-21.13
Medical technical officer,Entertainment,Decreasing,Moderate,148537.43,PhD,2.0,4343.0,3844.0,51.74,72.26,Australia,52.72,-11.49
Tax inspector,Entertainment,Increasing,High,112314.57,Associate Degree,15.0,6547.0,8928.0,95.56,68.66,China,72.11,36.37
Retail banker,Entertainment,Increasing,Low,109570.83,PhD,4.0,473.0,4100.0,99.9,10.47,USA,74.73,766.81
Probation officer,Entertainment,Increasing,Low,31131.63,Associate Degree,2.0,8114.0,6682.0,21.59,21.99,UK,77.49,-17.65
"Production assistant, television",Entertainment,Increasing,High,34585.33,High School,17.0,4719.0,8916.0,92.88,69.85,China,27.08,88.94
Electronics engineer,Entertainment,Decreasing,Moderate,131746.18,Master's Degree,1.0,8026.0,9539.0,73.93,5.1,China,64.78,18.85
Administrator,Entertainment,Decreasing,Moderate,114896.54,High School,10.0,5592.0,5086.0,66.14,87.51,UK,76.83,-9.05
Dietitian,Entertainment,Decreasing,Low,121188.64,Bachelor's Degree,3.0,1352.0,8046.0,96.34,16.26,UK,43.4,495.12
Chief Operating Officer,Entertainment,Decreasing,Low,65952.6,Associate Degree,7.0,8590.0,2287.0,87.91,41.45,USA,70.18,-73.38
Energy manager,Entertainment,Increasing,Low,38453.72,PhD,13.0,9649.0,8776.0,45.03,72.91,China,48.6,-9.05
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,100357.04,Bachelor's Degree,15.0,2608.0,8026.0,12.92,81.56,USA,79.28,207.75
Telecommunications researcher,Entertainment,Decreasing,Moderate,100500.85,Bachelor's Degree,3.0,1901.0,3172.0,76.06,90.83,Australia,62.24,66.86
Chief Strategy Officer,Entertainment,Increasing,Low,117807.0,High School,15.0,6449.0,609.0,89.1,4.29,Canada,22.22,-90.56
Child psychotherapist,Entertainment,Increasing,Moderate,52439.8,Associate Degree,0.0,5571.0,9051.0,82.99,8.55,Germany,49.95,62.47
"Therapist, sports",Entertainment,Increasing,High,141316.89,Bachelor's Degree,15.0,3584.0,4319.0,62.11,66.28,Brazil,57.08,20.51
Licensed conveyancer,Entertainment,Increasing,Low,123372.91,High School,16.0,7087.0,2603.0,80.56,81.68,Germany,26.72,-63.27
Maintenance engineer,Entertainment,Increasing,Low,77917.98,PhD,20.0,9309.0,2406.0,22.21,43.93,USA,79.27,-74.15
Art gallery manager,Entertainment,Decreasing,Low,108388.86,High School,19.0,7769.0,9232.0,10.22,52.01,Australia,76.95,18.83
Diagnostic radiographer,Entertainment,Decreasing,Moderate,48404.15,High School,1.0,2729.0,9301.0,81.34,91.29,Australia,33.18,240.82
Pharmacologist,Entertainment,Increasing,High,42512.39,PhD,15.0,9771.0,3224.0,80.82,23.45,Germany,36.07,-67.0
Artist,Entertainment,Decreasing,High,76188.95,PhD,10.0,9553.0,3122.0,0.25,34.66,USA,54.24,-67.32
Radio producer,Entertainment,Increasing,High,54417.98,Bachelor's Degree,1.0,4050.0,8925.0,67.92,2.98,Australia,42.04,120.37
Homeopath,Entertainment,Increasing,Moderate,94496.25,PhD,5.0,6954.0,3681.0,22.83,50.07,USA,24.85,-47.07
Writer,Entertainment,Decreasing,Moderate,117198.25,High School,10.0,5778.0,3503.0,98.16,52.47,UK,66.8,-39.37
Technical author,Entertainment,Decreasing,High,86080.58,Bachelor's Degree,14.0,1295.0,8688.0,97.84,44.35,Australia,74.75,570.89
Research scientist (life sciences),Entertainment,Increasing,Low,97990.08,PhD,1.0,9621.0,8161.0,3.3,51.67,UK,60.14,-15.18
Volunteer coordinator,Entertainment,Increasing,High,91996.7,PhD,6.0,599.0,7938.0,54.54,25.05,Germany,34.5,1225.21
"Scientist, research (physical sciences)",Entertainment,Increasing,Low,104685.58,Associate Degree,17.0,7366.0,3054.0,99.13,95.93,Canada,50.9,-58.54
Actuary,Entertainment,Decreasing,Low,80474.28,Master's Degree,9.0,9352.0,1967.0,41.16,24.61,Germany,61.3,-78.97
Theme park manager,Entertainment,Increasing,Moderate,49017.04,PhD,9.0,1294.0,8933.0,43.88,82.83,Canada,56.59,590.34
Psychiatric nurse,Entertainment,Decreasing,Low,149419.69,Associate Degree,8.0,6403.0,1610.0,2.78,81.85,Canada,30.56,-74.86
"Journalist, broadcasting",Entertainment,Decreasing,High,111599.3,Associate Degree,6.0,9652.0,4812.0,39.04,23.87,Canada,53.53,-50.15
Quarry manager,Entertainment,Increasing,High,85629.12,Bachelor's Degree,12.0,1569.0,3903.0,20.62,92.94,India,67.84,148.76
"Teacher, special educational needs",Entertainment,Increasing,Low,79311.64,Bachelor's Degree,17.0,3122.0,3839.0,34.62,38.39,Canada,21.87,22.97
Operational investment banker,Entertainment,Decreasing,Low,143252.63,Bachelor's Degree,7.0,3142.0,4517.0,81.3,54.08,India,50.7,43.76
Diplomatic Services operational officer,Entertainment,Decreasing,High,121785.83,PhD,0.0,8350.0,6055.0,73.75,41.46,Brazil,60.91,-27.49
Manufacturing systems engineer,Entertainment,Increasing,Low,148084.17,Master's Degree,6.0,3493.0,8547.0,95.63,39.92,UK,25.84,144.69
"Engineer, chemical",Entertainment,Decreasing,Low,147475.67,Associate Degree,14.0,6429.0,1950.0,73.19,35.92,USA,61.84,-69.67
Pathologist,Entertainment,Increasing,Moderate,59853.29,Bachelor's Degree,19.0,1117.0,2108.0,36.65,85.4,China,77.53,88.72
Production engineer,Entertainment,Increasing,Low,123250.04,Bachelor's Degree,0.0,8954.0,6397.0,23.5,24.93,Australia,32.91,-28.56
